startDate,value
2020-08-19 19:51:02 -0400,156
2020-08-19 19:50:57 -0400,154
2020-08-19 19:50:54 -0400,153
2020-08-19 19:50:47 -0400,155
2020-08-19 19:50:42 -0400,158
2020-08-19 19:50:39 -0400,159
2020-08-19 19:50:31 -0400,164
2020-08-19 19:50:27 -0400,165
2020-08-19 19:50:21 -0400,168
2020-08-19 19:50:16 -0400,168
2020-08-19 19:50:15 -0400,168
2020-08-19 19:50:07 -0400,172
2020-08-19 19:50:05 -0400,173
2020-08-19 19:49:56 -0400,179
2020-08-19 19:49:52 -0400,180
2020-08-19 19:49:49 -0400,182
2020-08-19 19:49:45 -0400,182
2020-08-19 19:49:40 -0400,185
2020-08-19 19:49:33 -0400,189
2020-08-19 19:49:29 -0400,192
2020-08-19 19:49:21 -0400,199
2020-08-19 19:49:18 -0400,202
2020-08-19 19:49:13 -0400,204
2020-08-19 19:49:07 -0400,209
2020-08-19 19:49:05 -0400,210
2020-08-19 19:49:00 -0400,210
2020-08-19 19:48:51 -0400,210
2020-08-19 19:48:48 -0400,210
2020-08-19 19:48:45 -0400,210
2020-08-19 19:48:36 -0400,206
2020-08-19 19:48:32 -0400,206
2020-08-19 19:48:30 -0400,205
2020-08-19 19:48:22 -0400,204
2020-08-19 19:48:19 -0400,204
2020-08-19 19:48:15 -0400,199
2020-08-19 19:48:06 -0400,193
2020-08-19 19:48:05 -0400,194
2020-08-19 19:48:00 -0400,190
2020-08-19 19:47:53 -0400,182
2020-08-19 19:47:50 -0400,182
2020-08-19 19:47:41 -0400,166
2020-08-19 19:47:36 -0400,163
2020-08-19 19:47:33 -0400,164
2020-08-19 19:47:30 -0400,163
2020-08-19 19:47:25 -0400,166
2020-08-19 19:47:16 -0400,172
2020-08-19 19:47:15 -0400,173
2020-08-19 19:47:06 -0400,179
2020-08-19 19:47:04 -0400,179
2020-08-19 19:47:00 -0400,180
2020-08-19 19:46:51 -0400,185
2020-08-19 19:46:48 -0400,186
2020-08-19 19:46:41 -0400,189
2020-08-19 19:46:36 -0400,192
2020-08-19 19:46:33 -0400,194
2020-08-19 19:46:26 -0400,198
2020-08-19 19:46:25 -0400,198
2020-08-19 19:46:19 -0400,198
2020-08-19 19:46:11 -0400,199
2020-08-19 19:46:06 -0400,200
