date,BasalEnergyBurned,DistanceWalkingRunning,StepCount
2020-09-02 22,20.35925,0.0826519,158.0
2020-09-02 23,43.36,0.016934644,36.5
2020-09-03 00,66.943,0.105187,271.0
2020-09-03 08,66.943,0.0134008,31.0
2020-09-03 09,66.943,0.00393471,13.0
2020-09-03 13,66.943,0.10219305,239.5
2020-09-03 17,66.943,0.02394331,59.0
2020-09-03 19,66.943,0.016407693,39.0
2020-09-03 20,66.943,0.02624463,63.0
2020-09-03 21,66.943,0.037087165,102.666664
2020-09-03 22,66.943,0.021351673,51.0
2020-09-03 23,66.943,0.00827092,19.0
2020-09-04 00,66.943,0.0106118,24.0
2020-09-04 08,66.943,0.00938895,26.0
2020-09-04 09,66.943,0.00348892,11.0
2020-09-04 14,66.943,0.00434547,10.0
2020-09-04 18,66.943,0.041301608,91.666664
2020-09-04 19,66.943,0.11723095,284.5
2020-09-04 20,66.943,0.1278774,295.5
2020-09-04 22,66.943,0.00360733,8.0
2020-09-04 23,66.943,0.01980656,58.333332
2020-09-05 00,66.943,0.0522778,119.5
2020-09-05 08,59.233,0.022752993,51.25
2020-09-05 09,23.591251,0.058527917,131.71428
2020-09-05 10,18.5534,0.031768426,72.25
2020-09-05 11,21.48175,0.07642017,164.83333
2020-09-05 12,22.984499,0.05518706,117.25
2020-09-05 13,18.05975,0.035672344,78.25
2020-09-05 14,14.0452,0.00555924,12.0
2020-09-05 15,15.606,0.061506853,176.0
2020-09-05 16,15.348499,0.1097923,292.6
2020-09-05 17,17.97175,0.10117962,267.0
2020-09-05 18,4.077083,0.046844885,337.375
2020-09-05 19,18.52,0.13746947,388.33334
2020-09-05 20,20.33125,0.07623546,170.57143
2020-09-05 21,21.0126,0.070599765,140.8
2020-09-05 22,2.5777104,0.023756878,113.0
2020-09-05 23,6.8951817,0.049390443,214.0
2020-09-06 00,2.525108,0.034918167,194.11111
2020-09-06 01,22.4385,0.09534184,255.8
2020-09-07 02,66.943,0.01497731,35.5
2020-09-07 09,66.943,0.00654341,15.0
2020-09-07 10,66.943,0.0320668,77.0
2020-09-07 11,66.943,0.0284717,63.0
2020-09-07 12,66.943,0.0332788,82.0
2020-09-07 14,66.943,0.018014211,50.75
2020-09-07 16,66.943,0.00602701,17.0
2020-09-07 19,66.943,0.0100375,23.0
2020-09-07 20,66.943,0.033546098,79.5
2020-09-07 21,66.943,0.020355454,53.333332
2020-09-07 22,66.943,0.00976721,22.0
2020-09-08 00,66.943,0.018112231,42.0
2020-09-08 01,66.943,0.00873768,20.0
2020-09-08 08,66.943,0.00689192,16.0
2020-09-08 09,66.943,0.000290316,1.0
2020-09-08 12,66.943,0.0130272,31.0
2020-09-08 13,66.943,0.0886593,230.0
2020-09-08 14,66.943,0.07381125,165.5
2020-09-08 15,66.943,0.0638088,158.0
2020-09-08 17,66.943,0.0127583,29.0
2020-09-08 19,66.943,0.03543165,103.5
2020-09-08 21,66.943,0.00706642,16.0
2020-09-08 23,66.943,0.00989545,26.0
2020-09-09 02,66.943,0.0149034,35.0
2020-09-09 08,66.943,0.00838246,19.0
2020-09-09 09,66.943,0.00707033,16.0
2020-09-09 16,66.943,0.018205,41.0
2020-09-09 18,66.943,0.0352876,86.0
2020-09-09 19,66.943,0.029183384,69.5
2020-09-09 23,66.943,0.018029366,53.5
2020-09-10 01,66.943,0.0216166,50.0
2020-09-10 09,66.943,0.00773343,19.0
2020-09-10 12,66.943,0.0506568,118.0
2020-09-10 13,66.943,0.100291,255.0
2020-09-10 15,66.943,0.0336912,95.0
2020-09-10 19,66.943,0.00655836,15.0
2020-09-10 20,66.943,0.0354958,100.0
2020-09-10 21,66.943,0.022170167,57.0
2020-09-10 22,66.943,0.0363319,85.0
2020-09-11 00,66.943,0.03474237,80.5
2020-09-11 01,66.943,0.00768798,18.0
2020-09-11 08,66.943,0.00567601,13.0
2020-09-11 09,66.943,0.00722702,20.0
2020-09-11 11,66.943,0.0170925,40.0
2020-09-11 14,66.943,0.0555772,151.0
2020-09-11 16,66.943,0.00695618,16.0
2020-09-11 17,66.943,0.0452871,135.0
2020-09-11 18,66.943,0.020182878,43.5
2020-09-11 19,66.943,0.0058288546,13.0
2020-09-11 20,66.943,0.141594,360.0
2020-09-11 21,66.943,0.057110123,144.0
2020-09-11 22,66.943,0.00841917,25.0
2020-09-12 00,66.943,0.14334312,311.25
2020-09-12 01,66.943,0.23217817,473.83334
2020-09-12 02,66.943,0.17903574,349.0
2020-09-12 03,66.943,0.0074123354,24.5
2020-09-12 09,66.943,0.08653555,271.5
2020-09-12 10,66.943,0.13606599,360.5
2020-09-12 11,66.943,0.10144595,264.0
2020-09-12 12,66.943,0.054096382,135.5
2020-09-12 13,66.943,0.063049495,165.4
2020-09-12 14,66.943,0.14805818,354.5
2020-09-12 15,66.943,0.11465027,277.33334
2020-09-12 16,66.943,0.088388376,216.75
2020-09-12 17,66.943,0.043726988,115.8
2020-09-12 18,66.943,0.031756524,85.2
2020-09-12 19,66.943,0.09161706,257.0
2020-09-12 20,66.943,0.0422738,111.6
2020-09-12 21,66.943,0.0378311,96.5
2020-09-12 22,66.943,0.0226197,50.0
2020-09-13 00,66.943,0.000889479,2.0
2020-09-13 01,66.943,0.0498429,103.0
2020-09-13 10,66.943,0.0833913,194.0
2020-09-13 11,66.943,0.02404384,55.0
2020-09-13 12,66.943,0.042204622,101.25
2020-09-13 13,66.943,0.044979334,109.0
2020-09-13 14,66.943,0.0373361,90.666664
2020-09-13 16,66.943,0.03047587,69.5
2020-09-13 17,66.943,0.03779987,91.666664
2020-09-13 18,66.943,0.0379898,84.5
2020-09-13 20,66.943,0.014056919,35.0
2020-09-13 21,66.943,0.049416967,134.0
2020-09-13 22,66.943,0.030074386,82.666664
2020-09-13 23,66.943,0.0157286,40.0
2020-09-14 00,66.943,0.00794089,18.0
2020-09-14 01,18.891,0.0116007,25.0
2020-09-14 02,15.6735,0.00523042,10.0
2020-09-14 03,15.5646,0.00417258,10.0
2020-09-14 08,13.417,0.0113233,26.0
