startDate,value,type
2020-09-13 23:01:20 -0400,40,StepCount
2020-09-13 22:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 22:50:29 -0400,0.00899156,DistanceWalkingRunning
2020-09-13 22:50:29 -0400,21,StepCount
2020-09-13 22:28:53 -0400,117,StepCount
2020-09-13 22:28:53 -0400,0.0420056,DistanceWalkingRunning
2020-09-13 22:10:36 -0400,110,StepCount
2020-09-13 22:10:36 -0400,0.039226,DistanceWalkingRunning
2020-09-13 21:59:48 -0400,0.102862,DistanceWalkingRunning
2020-09-13 21:59:48 -0400,279,StepCount
2020-09-13 21:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 21:48:50 -0400,0.030101,DistanceWalkingRunning
2020-09-13 21:48:50 -0400,87,StepCount
2020-09-13 21:28:05 -0400,0.0152879,DistanceWalkingRunning
2020-09-13 21:28:05 -0400,36,StepCount
2020-09-13 20:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 20:16:06 -0400,0.018535,DistanceWalkingRunning
2020-09-13 20:16:06 -0400,45,StepCount
2020-09-13 20:01:28 -0400,0.00957884,DistanceWalkingRunning
2020-09-13 20:01:28 -0400,25,StepCount
2020-09-13 19:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 18:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 18:21:25 -0400,0.043041,DistanceWalkingRunning
2020-09-13 18:21:25 -0400,103,StepCount
2020-09-13 18:05:56 -0400,66,StepCount
2020-09-13 18:05:56 -0400,0.0329386,DistanceWalkingRunning
2020-09-13 17:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 17:55:23 -0400,197,StepCount
2020-09-13 17:55:23 -0400,0.0780903,DistanceWalkingRunning
2020-09-13 17:38:18 -0400,0.0330856,DistanceWalkingRunning
2020-09-13 17:38:18 -0400,70,StepCount
2020-09-13 17:08:11 -0400,8,StepCount
2020-09-13 17:08:11 -0400,0.0022237,DistanceWalkingRunning
2020-09-13 16:57:53 -0400,16,StepCount
2020-09-13 16:57:53 -0400,0.00681934,DistanceWalkingRunning
2020-09-13 16:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 16:44:50 -0400,1,FlightsClimbed
2020-09-13 16:43:44 -0400,0.0541324,DistanceWalkingRunning
2020-09-13 16:43:44 -0400,123,StepCount
2020-09-13 15:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 14:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 14:43:52 -0400,0.0263883,DistanceWalkingRunning
2020-09-13 14:43:52 -0400,73,StepCount
2020-09-13 14:33:48 -0400,0.042363,DistanceWalkingRunning
2020-09-13 14:33:48 -0400,102,StepCount
2020-09-13 14:02:04 -0400,97,StepCount
2020-09-13 14:02:04 -0400,0.043257,DistanceWalkingRunning
2020-09-13 13:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 13:49:09 -0400,0.00772117,DistanceWalkingRunning
2020-09-13 13:49:09 -0400,21,StepCount
2020-09-13 13:37:47 -0400,197,StepCount
2020-09-13 13:37:47 -0400,0.0822375,DistanceWalkingRunning
2020-09-13 13:03:22 -0400,1,FlightsClimbed
2020-09-13 12:56:08 -0400,0.0762002,DistanceWalkingRunning
2020-09-13 12:56:08 -0400,186,StepCount
2020-09-13 12:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 12:45:27 -0400,1,FlightsClimbed
2020-09-13 12:41:15 -0400,0.0720542,DistanceWalkingRunning
2020-09-13 12:41:15 -0400,168,StepCount
2020-09-13 12:23:52 -0400,24,StepCount
2020-09-13 12:23:52 -0400,0.00913569,DistanceWalkingRunning
2020-09-13 12:08:47 -0400,27,StepCount
2020-09-13 12:08:47 -0400,0.0114284,DistanceWalkingRunning
2020-09-13 11:58:10 -0400,0.0382904,DistanceWalkingRunning
2020-09-13 11:58:10 -0400,87,StepCount
2020-09-13 11:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 11:18:30 -0400,0.00979728,DistanceWalkingRunning
2020-09-13 11:18:30 -0400,23,StepCount
2020-09-13 10:55:30 -0400,66.943,BasalEnergyBurned
